Response,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)","Poverty Reduction (i.e. wages, access to nutritious food, access to childcare, income distribution throughout neighbourhoods, etc.)","Mobility (i.e. cycling, walking, driving, traffic related, roadblocks, road construction, etc.)","Fiscal Responsibility (i.e. tax dollar distribution, financial transparency, budgets, service provisioning, etc.)","Climate Change (i.e. industrial emissions, air-borne pollutants, energy, water pollution, changes in native species populations, permeability, etc)",Housing_Data. 1,Housing_Data. 2,Housing_Data. 3,"3.1.1. Commercial product(i.e. mobile/web app, visualization)","3.1.2. City (i.e. reports, Government studies)","3.1.1 Education(i.e. K-12, college, university)","3.1.4 Media(i.e. newspaper article, blog post, tv/radio interview)","3.1.5 Personal(i.e. hobbyist, personal development)","3.1.6. Research(i.e. academic, projects, post grad, thesis)","3.2.1. Commercial product(i.e. mobile/web app, visualization)","3.2.2. City  (i.e. reports, Government studies)","3.2.3. Education(i.e. K-12, college, university)","3.2.4. Media(i.e. newspaper article, blog post, tv/radio interview)","3.2.5. Personal(i.e. hobbyist, personal development)","3.2.6. Research(i.e. academic, projects, post grad, thesis)","3.3.1.  Commercial product(i.e. mobile/web app, visualization)","3.3.2.  City (i.e. reports, Government studies)","3.3.3.  Education(i.e. K-12, college, university)","3.3.4. Media(i.e. newspaper article, blog post, tv/radio interview)","3.3.5.Personal(i.e. hobbyist, personal development)","3.3.6. Research(i.e. academic, projects, post grad, thesis)",Poverty_Data. 1,Poverty_Data. 2,Poverty_Data. 3,"5.1.1. Commercial product(i.e. mobile/web app, visualization)","5.1.2. City (i.e. reports, Government studies)","5.1.3. Education(i.e. K-12, college, university)","5.1.4.  Media(i.e. newspaper article, blog post, tv/radio interview)","5.1.5. Personal(i.e. hobbyist, personal development)","5.1.6. Research(i.e. academic, projects, post grad, thesis)","5.2.1. Commercial product(i.e. mobile/web app, visualization)","5.2.2. City (i.e. reports, Government studies)","5.2.3. Education(i.e. K-12, college, university)","5.2.4. Media(i.e. newspaper article, blog post, tv/radio interview)","5.2.5. Personal(i.e. hobbyist, personal development)","5.2.6. Research(i.e. academic, projects, post grad, thesis)","5.3.1. Commercial product(i.e. mobile/web app, visualization)","5.3.2. City (i.e. reports, Government studies)","5.3.3. Education(i.e. K-12, college, university)","5.3.4. Media(i.e. newspaper article, blog post, tv/radio interview)","5.3.5. Personal(i.e. hobbyist, personal development)","5.3.6. Research(i.e. academic, projects, post grad, thesis)",Mobility_Data. 1,Mobility_Data. 2,Mobility_Data. 3,"7.1.1. Commercial product(i.e. mobile/web app, visualization)","7.1.2. City (i.e. reports, Government studies)","7.1.3. Education(i.e. K-12, college, university)","7.1.4. Media(i.e. newspaper article, blog post, tv/radio interview)","7.1.5. Personal(i.e. hobbyist, personal development)","7.1.6. Research(i.e. academic, projects, post grad, thesis)","7.2.1. Commercial product(i.e. mobile/web app, visualization)","7.2.2. City  (i.e. reports, Government studies)","7.2.3. Education(i.e. K-12, college, university)","7.2.4. Media(i.e. newspaper article, blog post, tv/radio interview)","7.2.5. Personal(i.e. hobbyist, personal development)","7.2.6. Research(i.e. academic, projects, post grad, thesis)","7.3.1. Commercial product(i.e. mobile/web app, visualization)","7.3.2. City (i.e. reports, Government studies)","7.3.3. Education(i.e. K-12, college, university)","7.3.4. Media(i.e. newspaper article, blog post, tv/radio interview)","7.3.5. Personal(i.e. hobbyist, personal development)","7.3.6. Research(i.e. academic, projects, post grad, thesis)",Fiscal_Data. 1,Fiscal_Data. 2,Fiscal_Data. 3,"9.1.1. Commercial product(i.e. mobile/web app, visualization)","9.1.2. City (i.e. reports, Government studies)","9.1.3. Education(i.e. K-12, college, university)","9.1.4. Media(i.e. newspaper article, blog post, tv/radio interview)","9.1.5. Personal(i.e. hobbyist, personal development)","9.1.6. Research(i.e. academic, projects, post grad, thesis)","9.2.1. Commercial product(i.e. mobile/web app, visualization)","9.2.2. City (i.e. reports, Government studies)","9.2.3. Education(i.e. K-12, college, university)","9.2.4. Media(i.e. newspaper article, blog post, tv/radio interview)","9.2.5. Personal(i.e. hobbyist, personal development)","9.2.6. Research(i.e. academic, projects, post grad, thesis)","9.3.1. Commercial product(i.e. mobile/web app, visualization)","9.3.2. City (i.e. reports, Government studies)","9.3.3. Education(i.e. K-12, college, university)","9.3.4. Media(i.e. newspaper article, blog post, tv/radio interview)","9.3.5. Personal(i.e. hobbyist, personal development)","9.3.6. Research(i.e. academic, projects, post grad, thesis)",Climate_Data. 1,Climate_Data. 2,Climate_Data. 3,"11.1.1. Commercial product(i.e. mobile/web app, visualization)","11.1.2. City&nbsp (i.e. reports, Government studies)","11.1.3. Education(i.e. K-12, college, university)","11.1.4. Media(i.e. newspaper article, blog post, tv/radio interview)","11.1.5. Personal(i.e. hobbyist, personal development)","11.1.6. Research(i.e. academic, projects, post grad, thesis)","11.2.1. Commercial product(i.e. mobile/web app, visualization)","11.2.2. City&nbsp (i.e. reports, Government studies)","11.2.3. Education(i.e. K-12, college, university)","11.2.4. Media(i.e. newspaper article, blog post, tv/radio interview)","11.2.5. Personal(i.e. hobbyist, personal development)","11.2.6. Research(i.e. academic, projects, post grad, thesis)","11.3.1. Commercial product(i.e. mobile/web app, visualization)","11.3.2. City&nbsp (i.e. reports, Government studies)","11.3.3. Education(i.e. K-12, college, university)","11.3.4. Media(i.e. newspaper article, blog post, tv/radio interview)","11.3.5. Personal(i.e. hobbyist, personal development)","11.3.6. Research(i.e. academic, projects, post grad, thesis)"
1,,,,,"Climate Change (i.e. industrial emissions, air-borne pollutants, energy, water pollution, changes in native species populations, permeability, etc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commercial product(i.e. mobile/web app, visualization)",,,,,,,,,,,,,,,,,
2,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)",,,,,"Housing Availability, New Housing Builds / Projects and Types, Population Changes, New House Sales and Type, Industrial & Commercial Spaces that are unused",,,,,"Education(i.e. K-12, college, university)",,"Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)","Poverty Reduction (i.e. wages, access to nutritious food, access to childcare, income distribution throughout neighbourhoods, etc.)","Mobility (i.e. cycling, walking, driving, traffic related, roadblocks, road construction, etc.)","Fiscal Responsibility (i.e. tax dollar distribution, financial transparency, budgets, service provisioning, etc.)","Climate Change (i.e. industrial emissions, air-borne pollutants, energy, water pollution, changes in native species populations, permeability, etc)","data to support analysis of rent/housing costs compared to income, yielding a gap analysis",,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,"data for basis of determining number, demographics and location of people living under poverty line",,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,(pass),,,,,,,,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,"both summary information with redesigned financial reporting, and on-demand granular data (to cost centre level). Almost certainly requires dashboard format",,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,"statistics on flooding, weather extremes, heat alerts, mapping of insect or other pathogens and effect on human, animal, and plant diseases as basis for analyzing trends",,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,
4,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)",,,,,Detailed transaction information and land-holdings from Toronto Parking Authority,"Parcel-Specific data for everything - Planning, Zoning-Bylaws, BIAs, Community & Precinct Plans, etc.",City property-tax records of Ownership and Current Value Assessment (Including History to 2000),,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)",,,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)",,,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)",,,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)","Poverty Reduction (i.e. wages, access to nutritious food, access to childcare, income distribution throughout neighbourhoods, etc.)","Mobility (i.e. cycling, walking, driving, traffic related, roadblocks, road construction, etc.)","Fiscal Responsibility (i.e. tax dollar distribution, financial transparency, budgets, service provisioning, etc.)","Climate Change (i.e. industrial emissions, air-borne pollutants, energy, water pollution, changes in native species populations, permeability, etc)","Data on provincial Above Guideline Increase items, amounts and dates.",Bring back the rent registry so rent data can be tracked.,Progress and results on city planned housing initiatives,,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",Data showing how much money city of Toronto has been investing for past ten years.,,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,Data showing how much money city of Toronto has invested over past ten years.,,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,Open up the Section 37 database.,"When city doesn't achieve its revenue targets, we need data broken down to determine why.",,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,Data showing how much money city of Toronto has invested over past ten years.,,,,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,
6,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)",,,,,Number of Toronto individuals/households on social assistance vs. number of Toronto units available at the social assistance shelter rates.,Average percentage of total monthly income that individuals/households receiving social assistance are spending on housing costs,,,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)",,,,,housing ownership data,housing occupancy and vacancy data,number and age of zoning bylaws that contradict provincial policy and make housing more expensive,,"City (i.e. reports, Government studies)",,,,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,,,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,,,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,"Mobility (i.e. cycling, walking, driving, traffic related, roadblocks, road construction, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anything related tp what is physically loaced in the urban environment,,,,,,,"Personal(i.e. hobbyist, personal development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)",,"Mobility (i.e. cycling, walking, driving, traffic related, roadblocks, road construction, etc.)",,"Climate Change (i.e. industrial emissions, air-borne pollutants, energy, water pollution, changes in native species populations, permeability, etc)",Housing sale prices,Non resident ownership,Population density (house level),"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,"Road usage: car, bike, pedestrian",Collisions / fatalities,Average # of passengers per vehicle,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,Age of vehicles registered to Toronto residents,Smog / pollutant data by area,Climate related insurance costs,,"City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,"Research(i.e. academic, projects, post grad, thesis)","Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)","Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)","Education(i.e. K-12, college, university)","Media(i.e. newspaper article, blog post, tv/radio interview)","Personal(i.e. hobbyist, personal development)","Research(i.e. academic, projects, post grad, thesis)"
10,"Affordable Housing (i.e. housing availability, social housing wait list, property prices, evaluation on rental buildings, childcare waitlists, etc.)","Poverty Reduction (i.e. wages, access to nutritious food, access to childcare, income distribution throughout neighbourhoods, etc.)","Mobility (i.e. cycling, walking, driving, traffic related, roadblocks, road construction, etc.)",,"Climate Change (i.e. industrial emissions, air-borne pollutants, energy, water pollution, changes in native species populations, permeability, etc)",Accurate reporting of neighbourhood crime or demo info etc so people dont reject 'bad' neighbourhood that aren't actually bad,Average rents but also maintenance costs for condos,Commute times for transit so people can see that farther put of downtown isnt always a bad thing,,"City (i.e. reports, Government studies)",,,,,,"City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,,"Commercial product(i.e. mobile/web app, visualization)",,,,,,Wards - esp with the new boundaries are more likely to have high income vs. Low income areas. Would like to see where city and councillor resources are spent relative to wealth within a ward,Location of support centers/non profits/churches so people can find support,Poverty is a women's issue sometimes - data that focuses on reduction for women / ide tify where women and thier children can go would help,,"City (i.e. reports, Government studies)",,,,"Research(i.e. academic, projects, post grad, thesis)",,"City (i.e. reports, Government studies)",,,,,"Commercial product(i.e. mobile/web app, visualization)","City (i.e. reports, Government studies)",,"Media(i.e. newspaper article, blog post, tv/radio interview)",,,"Integrated transit planning- GO, bike share, TTC bus and subway all linked without bickering who owns what",Interactive bike trip planning - can gauge safety of the trip/ ease of trip/where bike lanes exist or dont,Data that shows the number of short distance car trips that occur needlessly in Toronto,"Commercial product(i.e. mobile/web app, visualization)",,,,,,"Commercial product(i.e. mobile/web app, visualization)",,,,,,,"City (i.e. reports, Government studies)",,,,"Research(i.e. academic, projects, post grad, thesis)",,,,,,,,,,,,,,,,,,,,,,Highest car traffic areas and estimated size of carbon footprint,,,,"City (i.e. reports, Government studies)",,,,,,,,,,,,,,,,
